"","lon","lat"
"182",-71.22168,42.3856989
"183",-84.2932355,37.5695232
"184",-122.7207466,38.3536853
"185",-73.979561,40.7539343
"186",-74.1872249,40.9004188
"187",-71.0895292,42.3465952
"188",-85.189199,34.290361
"189",-73.981136,40.635444
"190",-73.992678,40.6052279
"191",-74.2220292,40.0956095
"192",NA,NA
"193",-80.559834,40.206055
"194",-93.990284,44.166156
"195",-84.9106908,39.8261568
"196",-86.196199,41.678297
"197",-97.3425835,38.0747608
"198",-76.4093676,37.0403567
"199",-93.1610252,45.0581152
"200",-88.5167781,36.1378356
"201",-117.9413646,33.842355
"202",-81.0322912,29.2120348
"203",-84.3578094,33.7368983
"204",-87.591039,41.785706
"205",-75.3038108,40.2816397
"206",-80.032484,40.457274
"207",-118.0152341,33.9055049
"208",-86.854721,33.51392
"209",-122.538407,45.4767614
"210",-89.8733533,39.2886265
"211",-113.0093085,48.5519152
"212",-71.3110243,42.3394321
"213",-91.3983317,39.9356314
"214",NA,NA
"215",NA,NA
"216",-89.0293182,34.6721036
"217",-81.246277,37.244538
"218",-83.897922,40.8968149
"219",-82.362062,34.876487
"220",-116.2913775,43.6581815
"221",-77.4330528,37.6468058
"222",-73.9464526,40.8336649
"223",-71.0857391,42.3484629
"224",-71.11015,42.253995
"225",-71.1684945,42.3355488
"226",-71.0900107,42.3462021
"227",-71.1331033,42.3391142
"228",-71.1053991,42.3504997
"229",-69.9623764,43.9085145
"230",-89.6153484,40.6977743
"231",-71.2585265,42.3662517
"232",-83.822032,34.302811
"233",-88.170304,43.0369249
"234",-87.1119826,37.7689415
"235",-82.7293012,35.2365947
"236",-82.5847649,32.1857919
"237",-96.4270388,42.5270102
"238",-78.969386,38.378879
"239",-111.6493156,40.2518435
"240",-157.9253554,21.641842
"241",-111.782753,43.818146
"242",-111.941832,40.6103114
"243",-112.112536,33.566153
"244",-73.9896878,40.6918663
"245",-81.6016038,30.2899097
"246",-71.4025482,41.8267718
"247",-84.9986887,35.4976178
"248",-96.650422,40.797057
"249",-118.3029954,34.0615447
"250",-92.4890469,34.5959265
"251",-71.5384787,41.921252
"252",-75.0602933,40.1348603
"253",-75.3144708,40.0266246
"254",-76.8847321,40.9548827
"255",-75.0070336,40.1663733
"256",-95.21007,42.640722
"257",-80.091614,26.510742
"258",-73.7090476,40.6630424
"259",-86.1711908,39.8411235
"260",-80.0158146,40.4844596
"261",-80.6008602,35.43995
"262",-75.3737129,40.0553178
"263",-74.908454,40.165681
"264",-74.2719702,40.8339629
"265",-117.4255596,33.9284067
"266",-118.6017342,34.1975375
"267",-119.7108224,36.7500277
"268",-122.2503541,37.8362513
"269",-122.416334,37.774573
"270",-118.125269,34.1376576
"271",-118.5668491,34.3932823
"272",-118.8786765,34.2255657
"273",-117.118095,32.779234
"274",-117.941974,33.8420337
"275",-117.1624897,32.721719
"276",-87.4940145,41.6709897
"277",-94.5447532,38.8375729
"278",-85.5889329,42.9295084
"279",-85.5865166,42.9279609
"280",-79.1664003,40.6173518
"281",-71.1108762,42.3687931
"282",-121.651772,39.13958
"283",-90.088701,29.965948
"284",-78.7394297,35.4083372
"285",-85.348925,37.343857
"286",-78.8514848,42.9248338
"287",-80.316536,36.362591
"288",-64.1951479,-31.4573715
"289",-76.851195,39.046259
"290",-87.9079842,43.1398021
"291",-119.7194206,39.5408989
"292",-98.5511066,29.4919265
"293",-84.5371269,42.6990814
"294",-79.7090305,40.5832582
"295",-96.7516129,43.5079419
"296",-66.1679291,18.3831199
"297",-93.1560904,44.4613533
"298",-66.1140275,18.4665523
"299",-79.9634386,40.4392049
"300",-79.9434567,40.4434658
"301",-80.256248,36.146124
"302",-78.939499,35.051371
"303",-112.03888,46.600734
"304",-88.2285124,43.0044863
"305",-83.490358,36.122362
"306",-87.8198185,42.6238133
"307",-84.5156485,33.7228254
"308",-118.4576386,34.1926362
"309",-81.6083838,41.5043413
"310",-80.4827508,35.691389
"311",NA,NA
"312",-87.5859676,41.7978447
"313",-76.998692,38.9368811
"314",-75.854914,42.932504
"315",-118.306266,34.062068
"316",-75.5191992,40.5862612
"317",-83.8126484,39.7495714
"318",-93.7321556,32.4847432
"319",-74.834676,40.846359
"320",-95.558709,29.753166
"321",-66.118519,18.466744
"322",-92.4448801,35.0831613
"323",-94.8381739,39.0094077
"324",-92.42759,39.397969
"325",-92.919667,41.400595
"326",-70.217293,44.10043
"327",-92.6845608,39.1484189
"328",-76.9346183,40.3049759
"329",-73.9387668,40.6697546
"330",-84.782037,37.6457214
"331",-76.0645119,36.837538
"332",-157.8073979,21.2905834
"333",-73.2041352,44.4731165
"334",-117.853647,33.7932282
"335",-118.242526,33.925633
"336",-79.938292,32.790198
"337",-80.07145,32.982704
"338",-149.8393167,61.1963065
"339",-83.886912,39.2103657
"340",-79.9234461,40.4475765
"341",-85.2158608,35.0089918
"342",-77.373918,37.348819
"343",-75.2286092,40.0866725
"344",-118.2572431,34.0479222
"345",-87.59117,41.785647
"346",-77.0983131,36.4362956
"347",-84.5094933,39.1216311
"348",-78.6604397,42.7714484
"349",-89.982519,35.127385
"350",-121.2962571,38.0297345
"351",-86.1783417,39.8331938
"352",-0.142178,51.5218663
"353",-122.261079,37.8762337
"354",-84.554644,39.1124565
"355",-84.505578,39.2066
"356",-80.1703458,26.1874318
"357",-122.3444475,47.6178002
"358",-94.5710329,39.0703387
"359",-80.854255,33.4989367
"360",-117.713872,34.103824
"361",-117.7079219,34.1017767
"362",-117.7160811,34.1081003
"363",-84.4116761,33.7507696
"364",-71.82473,42.2521783
"365",-90.69135,42.50888
"366",-95.9754506,41.2593411
"367",-74.998544,44.6637611
"368",-83.7275892,36.7253444
"369",-82.697928,27.963525
"370",-83.8805151,42.5874234
"371",-81.6024146,41.5104317
"372",-81.6087868,41.5124317
"373",-90.3388889,41.4902361
"374",-81.0429245,34.9134144
"375",-117.861362,33.775768
"376",-73.8864694,40.9688196
"377",-91.6591287,41.9884283
"378",-121.9408736,37.4140439
"379",-80.0704915,34.3765882
"380",-69.6626362,44.5638691
"381",-71.978033,43.412062
"382",-117.1362699,32.8217704
"383",-77.6003087,43.1321842
"384",-75.5407681,42.8157506
"385",-83.0628312,42.3613504
"386",-95.5065116,29.7166608
"387",-80.3374936,25.7685487
"388",-80.2393112,25.7897869
"389",-87.0663325,41.4675495
"390",-97.7135592,30.3292975
"391",-95.4530087,29.7989417
"392",-116.676876,43.653597
"393",-73.9030113,40.9124186
"394",-84.637835,39.095713
"395",-73.7811969,40.9016643
"396",-94.3922299,45.5800433
"397",-74.439389,40.78059
"398",-96.0216128,41.2402345
"399",-73.7856653,42.6640994
"400",-92.1050727,46.8152676
"401",-73.0006774,43.598154
"402",-71.833405,43.315052
"403",-68.2225667,44.3944241
"404",-71.8052464,42.2378888
"405",-93.2385421,36.6197814
"406",-73.78441,41.0336475
"407",-81.9336187,40.8110501
"408",-104.7903812,38.7941861
"409",-105.094751,39.712682
"410",-104.824394,38.846594
"411",-105.027703,39.6602044
"412",-105.082356,39.697063
"413",-105.104271,39.741793
"414",-104.9601816,39.7394099
"415",-66.0225749,18.2234153
"416",-92.3263201,38.9569623
"417",-81.030911,34.045537
"418",-92.3263201,38.9569623
