ï»¿"College","City","State","Institution Fiscal Year","Composite Score","Sector"
"American Public U. system","Charles Town","W.Va.","12/31/14","3","Private for-profit, 4-year or above"
"American Sentinel U.","Aurora","Colo.","12/31/14","2.2","Private for-profit, 4-year or above"
"American U.","Washington","D.C.","04/30/15","3","Private not-for-profit, 4-year or above"
"American U. of Health Sciences","Signal Hill","Calif.","12/31/14","2.4","Private for-profit, 4-year or above"
"American U. of Puerto Rico","Bayamon","P.R.","06/30/15","1.6","Private not-for-profit, 4-year or above"
"Amherst College","Amherst","Mass.","06/30/15","3","Private not-for-profit, 4-year or above"
"Amridge U.","Montgomery","Ala.","06/30/15","3","Private not-for-profit, 4-year or above"
"Anabaptist Mennonite Biblical Seminary","Elkhart","Ind.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Ancilla College","Donaldson","Ind.","06/30/15","2.5","Private not-for-profit, 2-year"
"Anderson U. (Ind.)","Anderson","Ind.","05/31/15","2.3","Private not-for-profit, 4-year or above"
"Anderson U. (S.C.)","Anderson","S.C.","05/31/15","3","Private not-for-profit, 4-year or above"
"Andover Newton Theological School","Newton Centre","Mass.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Andrew College","Cuthbert","Ga.","06/30/15","2.6","Private not-for-profit, 2-year"
"Andrews U.","Berrien Springs","Mich.","04/30/15","2.7","Private not-for-profit, 4-year or above"
"Angeles College at Los Angeles","Los Angeles","Calif.","12/31/14","1.9","Private for-profit, 4-year or above"
"Anna Maria College","Paxton","Mass.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Antioch U. Midwest","Yellow Springs","Ohio","06/30/15","2","Private not-for-profit, 4-year or above"
"Antonelli College at Cincinnati","Cincinnati","Ohio","06/30/15","1.5","Private for-profit, 2-year"
"AOMA Graduate School of Integrative Medicine","Austin","Tex.","12/31/14","2.9","Private for-profit, 4-year or above"
"Apex School of Theology","Durham","N.C.","06/30/15","3","Private not-for-profit, 4-year or above"
"Appalachian Bible College","Mount Hope","W.Va.","05/31/15","2.2","Private not-for-profit, 4-year or above"
"Appalachian College of Pharmacy","Oakwood","Va.","06/30/15","3","Private not-for-profit, 4-year or above"
"Appalachian School of Law","Grundy","Va.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Aquinas College (Mich.)","Grand Rapids","Mich.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Aquinas College (Tenn.)","Nashville","Tenn.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Aquinas Institute of Theology","Saint Louis","Mo.","06/30/15","3","Private not-for-profit, 4-year or above"
"Arcadia U.","Glenside","Pa.","05/31/15","2.7","Private not-for-profit, 4-year or above"
"Arizona Christian U.","Phoenix","Ariz.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Arizona College at Glendale","Glendale","Ariz.","03/31/15","1.7","Private for-profit, 2-year"
"Arizona School of Acupuncture and Oriental Medicine","Tucson","Ariz.","12/31/14","2.5","Private for-profit, 4-year or above"
"Arkansas Baptist College","Little Rock","Ark.","06/30/15","0.3","Private not-for-profit, 4-year or above"
"Arlington Baptist College","Arlington","Tex.","05/31/15","1.6","Private not-for-profit, 4-year or above"
"Art Academy of Cincinnati","Cincinnati","Ohio","05/31/15","2","Private not-for-profit, 4-year or above"
"Art Center College of Design","Pasadena","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
"Art Institute of Cincinnati","Cincinnati","Ohio","08/31/14","2","Private for-profit, 4-year or above"
"Art Institute of Pittsburgh","Pittsburgh","Pa.","06/30/15","-1","Private for-profit, 4-year or above"
"ASA Institute of Business and Computer Technology","Brooklyn","N.Y.","12/31/14","1.7","Private for-profit, 2-year"
"Asbury Theological Seminary","Wilmore","Ky.","06/30/15","3","Private not-for-profit, 4-year or above"
"Asbury U.","Wilmore","Ky.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Ashdown College of Health Sciences","Redlands","Calif.","12/31/14","1.8","Private for-profit, 2-year"
"Asher College","Sacramento","Calif.","12/31/14","1.7","Private for-profit, 2-year"
"Ashford U.","San Diego","Calif.","12/31/14","2.5","Private for-profit, 4-year or above"
"Ashland U.","Ashland","Ohio","05/31/15","2.4","Private not-for-profit, 4-year or above"
"Aspen U.","Denver","Colo.","04/30/15","1.6","Private for-profit, 4-year or above"
"Assumption College","Worcester","Mass.","05/31/15","2.8","Private not-for-profit, 4-year or above"
"Atenas College","Manati","P.R.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Atlanta Institute of Music and Media","Duluth","Ga.","12/31/14","0.5","Private for-profit, 2-year"
"Atlanta's John Marshall Law School","Atlanta","Ga.","07/31/14","2.9","Private for-profit, 4-year or above"
"Atlantic Institute of Oriental Medicine","Fort Lauderdale","Fla.","12/31/14","2.3","Private not-for-profit, 4-year or above"
"Atlantic U. College","Guaynabo","P.R.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"ATS Institute of Technology","Highland Heights","Ohio","12/31/14","0.9","Private for-profit, 2-year"
"Augsburg College","Minneapolis","Minn.","05/31/15","2.8","Private not-for-profit, 4-year or above"
"Augustana College (Ill.)","Rock Island","Ill.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Augustana College (S.D.)","Sioux Falls","S.D.","07/31/14","2.5","Private not-for-profit, 4-year or above"
"Aultman College of Nursing and Health Sciences","Canton","Ohio","12/31/14","2.2","Private not-for-profit, 4-year or above"
"Aurora U.","Aurora","Ill.","06/30/15","3","Private not-for-profit, 4-year or above"
"Austin College","Sherman","Tex.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Austin Graduate School of Theology","Austin","Tex.","07/31/14","3","Private not-for-profit, 4-year or above"
"Austin Presbyterian Theological Seminary","Austin","Tex.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Ave Maria School of Law","Naples","Fla.","06/30/15","0","Private not-for-profit, 4-year or above"
"Ave Maria U.","Ave Maria","Fla.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Averett U.","Danville","Va.","06/30/15","3","Private not-for-profit, 4-year or above"
"Aviator College of Aeronautical Science and Technology","Fort Pierce","Fla.","12/31/14","3","Private for-profit, 2-year"
"Avila U.","Kansas City","Mo.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Azure College","Miami Gardens","Fla.","12/31/14","0.6","Private for-profit, 2-year"
"Azusa Pacific U.","Azusa","Calif.","06/30/15","1.5","Private not-for-profit, 4-year or above"
"Babson College","Babson Park","Mass.","06/30/15","3","Private not-for-profit, 4-year or above"
"Bacone College","Muskogee","Okla.","07/31/14","1.7","Private not-for-profit, 4-year or above"
"Bainbridge Graduate Institute","Seattle","Wash.","06/30/15","0.5","Private not-for-profit, 4-year or above"
"Bais HaMedrash and Mesivta of Baltimore","Baltimore","Md.","08/31/14","2.4","Private not-for-profit, 4-year or above"
"Bais Medrash Elyon","Monsey","N.Y.","08/31/14","2.6","Private not-for-profit, 4-year or above"
"Bais Medrash Toras Chesed","Lakewood","N.J.","12/31/14","3","Private not-for-profit, 4-year or above"
"Baker College of Flint","Flint","Mich.","08/31/14","3","Private not-for-profit, 4-year or above"
"Baker U.","Baldwin City","Kans.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Bakke Graduate U.","Dallas","Tex.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Baldwin Wallace U.","Berea","Ohio","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Bank Street College of Education","New York","N.Y.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Baptist Bible College","Springfield","Mo.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Baptist Bible College and Seminary","South Abington Twp.","Pa.","05/31/15","0.3","Private not-for-profit, 4-year or above"
"Baptist College of Florida","Graceville","Fla.","06/30/15","3","Private not-for-profit, 4-year or above"
"Baptist Health System School of Health Professions","San Antonio","Tex.","12/31/14","2.4","Private for-profit, 4-year or above"
"Baptist Missionary Association Theological Seminary","Jacksonville","Tex.","05/31/15","2.2","Private not-for-profit, 4-year or above"
