ï»¿"College","City","State","Institution Fiscal Year","Composite Score","Sector"
"Court Reporting Institute of Louisiana","Baton Rouge","La.","12/31/14","1.6","Private for-profit, 2-year"
"Covenant College","Lookout Mountain","Ga.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Covenant Theological Seminary","Saint Louis","Mo.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Cox College","Springfield","Mo.","09/30/14","2.9","Private not-for-profit, 4-year or above"
"Coyne College","Chicago","Ill.","09/30/14","1.6","Private for-profit, 2-year"
"Cranbrook Academy of Art","Bloomfield Hills","Mich.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Creative Center","Omaha","Nebr.","12/31/14","3","Private for-profit, 4-year or above"
"Creighton U.","Omaha","Nebr.","06/30/15","3","Private not-for-profit, 4-year or above"
"Criswell College","Dallas","Tex.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Crouse Hospital College of Nursing","Syracuse","N.Y.","12/31/14","0","Private not-for-profit, 2-year"
"Crowley's Ridge College","Paragould","Ark.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Crown College (Minn.)","St Bonifacius","Minn.","06/30/15","1.7","Private not-for-profit, 4-year or above"
"Culinary Institute LeNotre","Houston","Tex.","10/31/14","2.4","Private for-profit, 2-year"
"Culinary Institute of America","Hyde Park","N.Y.","05/31/15","3","Private not-for-profit, 4-year or above"
"Culver-Stockton College","Canton","Mo.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Cumberland U.","Lebanon","Tenn.","05/31/15","2.4","Private not-for-profit, 4-year or above"
"Curry College","Milton","Mass.","05/31/15","3","Private not-for-profit, 4-year or above"
"Curtis Institute of Music","Philadelphia","Pa.","05/31/15","3","Private not-for-profit, 4-year or above"
"D'Youville College","Buffalo","N.Y.","05/31/15","3","Private not-for-profit, 4-year or above"
"Dade Medical College at Miami","Miami","Fla.","12/31/14","1.6","Private for-profit, 4-year or above"
"Daemen College","Amherst","N.Y.","05/31/15","2.7","Private not-for-profit, 4-year or above"
"Dakota Wesleyan U.","Mitchell","S.D.","05/31/15","3","Private not-for-profit, 4-year or above"
"Dallas Baptist U.","Dallas","Tex.","05/31/15","3","Private not-for-profit, 4-year or above"
"Dallas Christian College","Dallas","Tex.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Dallas Institute of Funeral Service","Dallas","Tex.","12/31/14","3","Private not-for-profit, 2-year"
"Dallas Nursing Institute","Dallas","Tex.","05/31/15","-1","Private not-for-profit, 2-year"
"Dallas Theological Seminary","Dallas","Tex.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Danville Regional Medical Center School of Health Professions","Danville","Va.","12/31/14","3","Private for-profit, 2-year"
"Daoist Traditions College of Chinese Medical Arts","Asheville","N.C.","05/31/15","3","Private for-profit, 4-year or above"
"Dartmouth College","Hanover","N.H.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Davenport U.","Grand Rapids","Mich.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Davidson College","Davidson","N.C.","06/30/15","3","Private not-for-profit, 4-year or above"
"Davis & Elkins College","Elkins","W.Va.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Davis College","Toledo","Ohio","06/30/15","1.6","Private for-profit, 2-year"
"Davis College (N.Y.)","Johnson City","N.Y.","06/30/15","1.7","Private not-for-profit, 4-year or above"
"Daymar College at Owensboro (Ky.)","Owensboro","Ky.","12/31/14","1.5","Private for-profit, 4-year or above"
"Daymar College at Paducah (Ky.)","Paducah","Ky.","12/31/14","1.5","Private for-profit, 4-year or above"
"Daymar Institute at Nashville","Nashville","Tenn.","12/31/14","1.5","Private for-profit, 4-year or above"
"Daytona College","Ormond Beach","Fla.","12/31/14","2.1","Private for-profit, 2-year"
"Dean College","Franklin","Mass.","05/31/15","2.5","Private not-for-profit, 4-year or above"
"Dean Institute of Technology","Pittsburgh","Pa.","05/31/15","3","Private for-profit, 2-year"
"Defiance College","Defiance","Ohio","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Delaware College of Art and Design","Wilmington","Del.","06/30/15","2.5","Private not-for-profit, 2-year"
"Delaware Valley College","Doylestown","Pa.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Dell'Arte International","Blue Lake","Calif.","09/30/14","2.7","Private not-for-profit, 4-year or above"
"Delta College of Arts & Technology","Baton Rouge","La.","12/31/14","2.1","Private for-profit, 2-year"
"Delta School of Business & Technology","Lake Charles","La.","06/30/15","2.3","Private for-profit, 2-year"
"Denison U.","Granville","Ohio","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Denver Seminary","Littleton","Colo.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"DePaul U.","Chicago","Ill.","06/30/15","3","Private not-for-profit, 4-year or above"
"DePauw U.","Greencastle","Ind.","06/30/15","3","Private not-for-profit, 4-year or above"
"Des Moines U.","Des Moines","Iowa","06/30/15","3","Private not-for-profit, 4-year or above"
"DeSales U.","Center Valley","Pa.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Design Institute of San Diego","San Diego","Calif.","06/30/15","2.4","Private for-profit, 4-year or above"
"DeVry U. of Illinois","Chicago","Ill.","06/30/15","3","Private for-profit, 4-year or above"
"Dickinson College","Carlisle","Pa.","06/30/15","3","Private not-for-profit, 4-year or above"
"DigiPen Institute of Technology","Redmond","Wash.","05/31/15","1.9","Private for-profit, 4-year or above"
"Digital Media Arts College","Boca Raton","Fla.","12/31/14","1.6","Private for-profit, 4-year or above"
"Dillard U.","New Orleans","La.","06/30/15","2.1","Private not-for-profit, 4-year or above"
"Divine Word College","Epworth","Iowa","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Doane College","Crete","Nebr.","06/30/15","3","Private not-for-profit, 4-year or above"
"Dominican College of Blauvelt","Orangeburg","N.Y.","06/30/15","1.5","Private not-for-profit, 4-year or above"
"Dominican School of Philosophy and Theology","Berkeley","Calif.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Dominican U.","River Forest","Ill.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Dominican U. of California","San Rafael","Calif.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Dongguk U.","Los Angeles","Calif.","12/31/14","1.9","Private not-for-profit, 4-year or above"
"Donnelly College","Kansas City","Kans.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Dordt College","Sioux Center","Iowa","06/30/15","3","Private not-for-profit, 4-year or above"
"Douglas Education Center","Monessen","Pa.","12/31/14","2.4","Private for-profit, 2-year"
"Dowling College","Oakdale","N.Y.","06/30/15","0.6","Private not-for-profit, 4-year or above"
"Dragon Rises College of Oriental Medicine","Gainesville","Fla.","12/31/14","3","Private for-profit, 4-year or above"
"Drake U.","Des Moines","Iowa","06/30/15","3","Private not-for-profit, 4-year or above"
"Drew U.","Madison","N.J.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Drexel U.","Philadelphia","Pa.","06/30/15","3","Private not-for-profit, 4-year or above"
"Drury U.","Springfield","Mo.","05/31/15","2.3","Private not-for-profit, 4-year or above"
"DuBois Business College at DuBois","DuBois","Pa.","12/31/14","1.8","Private for-profit, 2-year"
"Duke U.","Durham","N.C.","06/30/15","3","Private not-for-profit, 4-year or above"
"Duluth Business U.","Duluth","Minn.","12/31/14","1.8","Private for-profit, 4-year or above"
"Dunwoody College of Technology","Minneapolis","Minn.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Duquesne U.","Pittsburgh","Pa.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Eagle Gate College at Murray","Murray","Utah","12/31/14","1.7","Private for-profit, 4-year or above"
"Earlham College and Earlham School of Religion","Richmond","Ind.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"East Texas Baptist U.","Marshall","Tex.","05/31/15","2.5","Private not-for-profit, 4-year or above"
"East-West U.","Chicago","Ill.","08/31/14","3","Private not-for-profit, 4-year or above"
"Eastern International College at Jersey City","Jersey City","N.J.","12/31/14","2.8","Private for-profit, 4-year or above"
"Eastern Mennonite U.","Harrisonburg","Va.","06/30/15","3","Private not-for-profit, 4-year or above"
"Eastern Nazarene College","Quincy","Mass.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Eastern U.","St Davids","Pa.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Eastern Virginia Career C","Fredericksburg","Va.","12/31/14","2.4","Private for-profit, 2-year"
"Eastwick College at Hackensack (N.J.)","Hackensack","N.J.","12/31/14","3","Private for-profit, 2-year"
"Eastwick College at Ramsey (N.J.)","Ramsey","N.J.","12/31/14","3","Private for-profit, 2-year"
"Ecclesia College","Springdale","Ark.","05/31/15","1.3","Private not-for-profit, 4-year or above"
"Eckerd College","Saint Petersburg","Fla.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"ECPI College of Technology","Virginia Beach","Va.","12/31/14","3","Private for-profit, 4-year or above"
"Ecumenical Theological Seminary","Detroit","Mich.","07/31/14","0.8","Private not-for-profit, 4-year or above"
"Eden Theological Seminary","Webster Groves","Mo.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Edgewood College","Madison","Wis.","06/30/15","3","Private not-for-profit, 4-year or above"
"EDIC College","Caguas","P.R.","06/30/15","0.2","Private for-profit, 2-year"
"EDP U. of Puerto Rico","Hato Rey","P.R.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Edward Via College of Osteopathic Medicine","Blacksburg","Va.","06/30/15","3","Private not-for-profit, 4-year or above"
"Edward Waters College","Jacksonville","Fla.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Elizabethtown College","Elizabethtown","Pa.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Elmhurst College","Elmhurst","Ill.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Elmira Business Institute","Elmira","N.Y.","12/31/14","3","Private for-profit, 2-year"
"Elmira College","Elmira","N.Y.","06/30/15","2","Private not-for-profit, 4-year or above"
"Elms College","Chicopee","Mass.","06/30/15","3","Private not-for-profit, 4-year or above"
"Elon U.","Elon","N.C.","05/31/15","3","Private not-for-profit, 4-year or above"
"Embry-Riddle Aeronautical U. at Daytona Beach (Fla.)","Daytona Beach","Fla.","06/30/15","3","Private not-for-profit, 4-year or above"
"Emerson College","Boston","Mass.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Emmanuel College (Ga.)","Franklin Springs","Ga.","06/30/15","-0.9","Private not-for-profit, 4-year or above"
"Emmanuel College (Mass.)","Boston","Mass.","06/30/15","2.1","Private not-for-profit, 4-year or above"
"Emmanuel School of Religion","Johnson City","Tenn.","05/31/15","1.1","Private not-for-profit, 4-year or above"
"Emmaus Bible College","Dubuque","Iowa","06/30/15","1.9","Private not-for-profit, 4-year or above"
"Emory & Henry College","Emory","Va.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Emory U.","Atlanta","Ga.","08/31/14","3","Private not-for-profit, 4-year or above"
"Emperor's College of Traditional Oriental Medicine","Santa Monica","Calif.","06/30/15","2.3","Private for-profit, 4-year or above"
"Empire College School of Business","Santa Rosa","Calif.","12/31/14","-0.1","Private for-profit, 2-year"
"Endicott College","Beverly","Mass.","06/30/15","3","Private not-for-profit, 4-year or above"
"Epic Bible College","Sacramento","Calif.","06/30/15","1.8","Private not-for-profit, 4-year or above"
"Episcopal Divinity School","Cambridge","Mass.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Episcopal Theological Seminary of the Southwest","Austin","Tex.","05/31/15","3","Private not-for-profit, 4-year or above"
"Erie Institute of Technology","Erie","Pa.","03/31/15","3","Private for-profit, 2-year"
"Erikson Institute","Chicago","Ill.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Erskine College","Due West","S.C.","06/30/15","1.4","Private not-for-profit, 4-year or above"
"ETI Technical College of Niles","Niles","Ohio","09/30/14","2.1","Private for-profit, 2-year"
"Eureka College","Eureka","Ill.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Evangel U.","Springfield","Mo.","04/30/15","0.6","Private not-for-profit, 4-year or above"
"Evangelical Seminary","Myerstown","Pa.","06/30/15","1.6","Private not-for-profit, 4-year or above"
"Evangelical Seminary of Puerto Rico","San Juan","P.R.","12/31/14","2.8","Private not-for-profit, 4-year or above"
"Excelsior College","Albany","N.Y.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Expression College for Digital Arts","Emeryville","Calif.","12/31/14","-0.4","Private for-profit, 4-year or above"
"Fairfield U.","Fairfield","Conn.","06/30/15","3","Private not-for-profit, 4-year or above"
"Fairleigh Dickinson U.","Teaneck","N.J.","06/30/15","3","Private not-for-profit, 4-year or above"
"Faith Baptist Bible College and Theological Seminary","Ankeny","Iowa","06/30/15","3","Private not-for-profit, 4-year or above"
"Faith Theological Seminary","Baltimore","Md.","06/30/15","-0.3","Private not-for-profit, 4-year or above"
"Family of Faith College","Shawnee","Okla.","06/30/15","1.8","Private not-for-profit, 4-year or above"
"Fashion Institute of Design and Merchandising at Los Angeles","Los Angeles","Calif.","03/31/15","2.1","Private for-profit, 4-year or above"
"Faulkner U.","Montgomery","Ala.","05/31/15","2.7","Private not-for-profit, 4-year or above"
"Felician U.","Lodi","N.J.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Ferrum College","Ferrum","Va.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Fielding Graduate U.","Santa Barbara","Calif.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"FINE Mortuary College","Norwood","Mass.","05/31/15","-0.7","Private for-profit, 2-year"
"Finlandia U.","Hancock","Mich.","06/30/15","1.1","Private not-for-profit, 4-year or above"
"Fisher College","Boston","Mass.","06/30/15","3","Private not-for-profit, 4-year or above"
"Fisk U.","Nashville","Tenn.","06/30/15","3","Private not-for-profit, 4-year or above"
"Five Branches U. Graduate School of Traditional Chinese Medicine","Santa Cruz","Calif.","12/31/14","2.2","Private for-profit, 4-year or above"
"Five Towns College","Dix Hills","N.Y.","06/30/15","2.5","Private for-profit, 4-year or above"
"Flagler College at St. Augustine (Fla.)","Saint Augustine","Fla.","06/30/15","3","Private not-for-profit, 4-year or above"
"Florida Coastal School of Law","Jacksonville","Fla.","07/31/14","1.8","Private for-profit, 4-year or above"
"Florida College","Temple Terrace","Fla.","05/31/15","2","Private not-for-profit, 4-year or above"
"Florida College of Integrative Medicine","Orlando","Fla.","06/30/15","2.7","Private for-profit, 4-year or above"
"Florida College of Natural Health at Pompano Beach","Pompano Beach","Fla.","12/31/14","1.8","Private for-profit, 2-year"
"Florida Education Institute","Miami","Fla.","12/31/14","2.6","Private for-profit, 2-year"
"Florida Hospital College of Health Sciences","Orlando","Fla.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Florida Institute of Technology","Melbourne","Fla.","04/30/15","2","Private not-for-profit, 4-year or above"
"Florida Memorial U.","Miami Gardens","Fla.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Florida National College","Hialeah","Fla.","12/31/14","3","Private for-profit, 4-year or above"
"Florida Southern College","Lakeland","Fla.","05/31/15","3","Private not-for-profit, 4-year or above"
"Florida Technical College at Orlando","Orlando","Fla.","04/30/15","3","Private for-profit, 4-year or above"
"Fontbonne U.","Saint Louis","Mo.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Fordham U.","Bronx","N.Y.","06/30/15","3","Private not-for-profit, 4-year or above"
"Forrest College","Anderson","S.C.","06/30/15","1.8","Private for-profit, 2-year"
"Fountainhead College of Technology","Knoxville","Tenn.","12/31/14","-0.4","Private for-profit, 4-year or above"
"Franciscan School of Theology","Oceanside","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
"Franciscan U. of Steubenville","Steubenville","Ohio","05/31/15","3","Private not-for-profit, 4-year or above"
"Frank Lloyd Wright School of Architecture","Scottsdale","Ariz.","12/31/14","2.2","Private not-for-profit, 4-year or above"
"Franklin & Marshall College","Lancaster","Pa.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Franklin College of Indiana","Franklin","Ind.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Franklin Pierce U.","Rindge","N.H.","05/31/15","2","Private not-for-profit, 4-year or above"
"Franklin U.","Columbus","Ohio","07/31/14","3","Private not-for-profit, 4-year or above"
"Franklin W. Olin College of Engineering","Needham","Mass.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Freed-Hardeman U.","Henderson","Tenn.","05/31/15","2.9","Private not-for-profit, 4-year or above"
"Fremont College","Cerritos","Calif.","12/31/14","3","Private for-profit, 4-year or above"
"Fresno Pacific U.","Fresno","Calif.","04/30/15","2","Private not-for-profit, 4-year or above"
"Friends U.","Wichita","Kans.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Frontier Nursing U.","Hyden","Ky.","04/30/15","3","Private not-for-profit, 4-year or above"
"Full Sail U.","Winter Park","Fla.","07/31/14","2.6","Private for-profit, 4-year or above"
"Fuller Theological Seminary","Pasadena","Calif.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Furman U.","Greenville","S.C.","06/30/15","3","Private not-for-profit, 4-year or above"
"Future Generations Graduate School","Franklin","W.Va.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Gallaudet U.","Washington","D.C.","09/30/14","3","Private not-for-profit, 4-year or above"
"Gallipolis Career College","Gallipolis","Ohio","09/30/14","3","Private for-profit, 2-year"
"Gannon U.","Erie","Pa.","06/30/15","3","Private not-for-profit, 4-year or above"
"Gardner-Webb U.","Boiling Springs","N.C.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Garrett-Evangelical Theological Seminary","Evanston","Ill.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"General Theological Seminary","New York","N.Y.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Geneva College","Beaver Falls","Pa.","05/31/15","2.6","Private not-for-profit, 4-year or above"
"George Fox U.","Newberg","Ore.","06/30/15","3","Private not-for-profit, 4-year or above"
"George Washington U.","Washington","D.C.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Georgetown U.","Washington","D.C.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Georgia Christian U.","Atlanta","Ga.","12/31/14","2","Private not-for-profit, 4-year or above"
"Georgian Court U.","Lakewood","N.J.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Gettysburg College","Gettysburg","Pa.","05/31/15","2.6","Private not-for-profit, 4-year or above"
"Global Health College","Alexandria","Va.","12/31/14","2.6","Private for-profit, 2-year"
"Globe Institute of Technology","New York","N.Y.","12/31/14","1.1","Private for-profit, 4-year or above"
"Globe U. at Woodbury (Minn.)","Woodbury","Minn.","12/31/14","1.8","Private for-profit, 4-year or above"
"God's Bible School and College","Cincinnati","Ohio","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Goddard College","Plainfield","Vt.","06/30/15","2.1","Private not-for-profit, 4-year or above"
"Golden Gate U.","San Francisco","Calif.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Goldey-Beacom College","Wilmington","Del.","06/30/15","3","Private not-for-profit, 4-year or above"
"Goldfarb School of Nursing at Barnes-Jewish College","Saint Louis","Mo.","12/31/14","2.5","Private not-for-profit, 4-year or above"
"Gonzaga U.","Spokane","Wash.","05/31/15","2.7","Private not-for-profit, 4-year or above"
"Good Samaritan College of Nursing and Health Science","Cincinnati","Ohio","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Gooding Institute of Nurse Anesthesia","Panama City","Fla.","12/31/14","0.5","Private for-profit, 4-year or above"
"Goodwin College","East Hartford","Conn.","06/30/15","3","Private not-for-profit, 4-year or above"
"Gordon College (Mass.)","Wenham","Mass.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Gordon-Conwell Theological Seminary","South Hamilton","Mass.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Goshen College","Goshen","Ind.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Goucher College","Baltimore","Md.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Grace Bible College","Grand Rapids","Mich.","06/30/15","2","Private not-for-profit, 4-year or above"
"Grace College and Seminary (Ind.)","Winona Lake","Ind.","05/31/15","1.9","Private not-for-profit, 4-year or above"
"Grace College of Divinity (N.C.)","Fayetteville","N.C.","06/30/15","2.1","Private not-for-profit, 4-year or above"
"Grace Mission U.","Fullerton","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
"Grace School of Theology","The Woodlands","Tex.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Graduate School USA","Washington","D.C.","06/30/15","2.8","Private not-for-profit, 2-year"
"Graduate Theological Union","Berkeley","Calif.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Grand Canyon U.","Phoenix","Ariz.","12/31/14","3","Private for-profit, 4-year or above"
"Grand View U.","Des Moines","Iowa","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Grantham U.","Lenexa","Kans.","12/31/14","2.9","Private for-profit, 4-year or above"
"Gratz College","Melrose Park","Pa.","08/31/14","2.3","Private not-for-profit, 4-year or above"
"Great Lakes Christian College","Lansing","Mich.","06/30/15","1.5","Private not-for-profit, 4-year or above"
"Great Lakes Institute of Technology","Erie","Pa.","03/31/15","2.8","Private for-profit, 2-year"
"Green Mountain College","Poultney","Vt.","06/30/15","1","Private not-for-profit, 4-year or above"
"Greensboro College","Greensboro","N.C.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Greenville College","Greenville","Ill.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Grinnell College","Grinnell","Iowa","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Guilford College","Greensboro","N.C.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Gurnick Academy of Medical Arts","San Mateo","Calif.","12/31/14","1.7","Private for-profit, 2-year"
"Gustavus Adolphus College","Saint Peter","Minn.","05/31/15","2.8","Private not-for-profit, 4-year or above"
"Gwinnett College","Lilburn","Ga.","12/31/14","3","Private for-profit, 2-year"
"Gwynedd Mercy U.","Gwynedd Valley","Pa.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Hallmark College","San Antonio","Tex.","12/31/14","1.2","Private not-for-profit, 4-year or above"
"Hamilton College (N.Y.)","Clinton","N.Y.","06/30/15","3","Private not-for-profit, 4-year or above"
"Hamline U.","Saint Paul","Minn.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Hampden-Sydney College","Hampden Sydney","Va.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Hampshire College","Amherst","Mass.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Hampton U.","Hampton","Va.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Hannibal-La Grange U.","Hannibal","Mo.","06/30/15","1.4","Private not-for-profit, 4-year or above"
"Hanover College","Hanover","Ind.","06/30/15","3","Private not-for-profit, 4-year or above"
"Harcum College","Bryn Mawr","Pa.","06/30/15","2.6","Private not-for-profit, 2-year"
"Hardin-Simmons U.","Abilene","Tex.","05/31/15","2.6","Private not-for-profit, 4-year or above"
"Harding U.","Searcy","Ark.","06/30/15","3","Private not-for-profit, 4-year or above"
"Harrington College of Design","Chicago","Ill.","12/31/14","1.5","Private for-profit, 4-year or above"
"Harrisburg U. of Science and Technology","Harrisburg","Pa.","06/30/15","0.1","Private not-for-profit, 4-year or above"
"Harrison College at Indianapolis Downtown","Indianapolis","Ind.","06/30/15","1.2","Private for-profit, 4-year or above"
"Hartford Seminary","Hartford","Conn.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Hartwick College","Oneonta","N.Y.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Harvard U.","Cambridge","Mass.","06/30/15","3","Private not-for-profit, 4-year or above"
"Harvey Mudd College","Claremont","Calif.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Hastings College","Hastings","Nebr.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Haverford College","Haverford","Pa.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Hawaii Medical College","Honolulu","Hawaii","12/31/14","2","Private for-profit, 2-year"
"Hawaii Pacific U.","Honolulu","Hawaii","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Hazelden Graduate School of Addiction Studies","Center City","Minn.","12/31/14","3","Private not-for-profit, 4-year or above"
"Hebrew Theological College","Skokie","Ill.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Hebrew Union College-Jewish Institute of Religion","New York","N.Y.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Heidelberg U.","Tiffin","Ohio","06/30/15","3","Private not-for-profit, 4-year or above"
"Helene Fuld College of Nursing","New York","N.Y.","12/31/14","3","Private not-for-profit, 4-year or above"
"Hellenic College-Holy Cross Greek Orthodox School of Theology","Brookline","Mass.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Hendrix College","Conway","Ark.","05/31/15","2.2","Private not-for-profit, 4-year or above"
"Heritage Bible College","Dunn","N.C.","06/30/15","2.1","Private not-for-profit, 4-year or above"
"Heritage Christian U.","Florence","Ala.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Heritage College at Denver","Denver","Colo.","12/31/14","1.7","Private for-profit, 2-year"
"Heritage U. (Wash.)","Toppenish","Wash.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Herzing U. at Madison (Wis.)","Madison","Wis.","12/31/14","3","Private for-profit, 4-year or above"
"Hesston College","Hesston","Kans.","06/30/15","3","Private not-for-profit, 2-year"
"High Point U.","High Point","N.C.","05/31/15","3","Private not-for-profit, 4-year or above"
"Hilbert College","Hamburg","N.Y.","05/31/15","2.6","Private not-for-profit, 4-year or above"
"Hillsdale Free Will Baptist College","Moore","Okla.","06/30/15","0.8","Private not-for-profit, 4-year or above"
"Hiram College","Hiram","Ohio","06/30/15","1.1","Private not-for-profit, 4-year or above"
"Hiwassee College","Madisonville","Tenn.","06/30/15","1.4","Private not-for-profit, 4-year or above"
"Hobart and William Smith Colleges","Geneva","N.Y.","05/31/15","2.6","Private not-for-profit, 4-year or above"
"Hobe Sound Bible College","Hobe Sound","Fla.","06/30/15","1","Private not-for-profit, 4-year or above"
"Hodges U.","Naples","Fla.","06/30/15","3","Private not-for-profit, 4-year or above"
"Hofstra U.","Hempstead","N.Y.","08/31/14","3","Private not-for-profit, 4-year or above"
"Hohokus School-RETS Nutley","Nutley","N.J.","12/31/14","2.8","Private for-profit, 2-year"
"Hollins U.","Roanoke","Va.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Holy Apostles College and Seminary","Cromwell","Conn.","06/30/15","3","Private not-for-profit, 4-year or above"
"Holy Cross College","Notre Dame","Ind.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Holy Family U.","Philadelphia","Pa.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Holy Names U.","Oakland","Calif.","06/30/15","1.9","Private not-for-profit, 4-year or above"
"Hood College","Frederick","Md.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Hood Theological Seminary","Salisbury","N.C.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Hope College","Holland","Mich.","06/30/15","3","Private not-for-profit, 4-year or above"
"Hope International U.","Fullerton","Calif.","05/31/15","1.6","Private not-for-profit, 4-year or above"
"Horizon U.","San Diego","Calif.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Houghton College","Houghton","N.Y.","05/31/15","3","Private not-for-profit, 4-year or above"
"Houston Baptist U.","Houston","Tex.","05/31/15","3","Private not-for-profit, 4-year or above"
"Houston Graduate School of Theology","Houston","Tex.","06/30/15","1.3","Private not-for-profit, 4-year or above"
"Howard Payne U.","Brownwood","Tex.","05/31/15","2.5","Private not-for-profit, 4-year or above"
"Howard U.","Washington","D.C.","06/30/15","1.9","Private not-for-profit, 4-year or above"
"Huertas College","Caguas","P.R.","05/31/15","1.7","Private for-profit, 2-year"
